,player_name,hand_id,starting_bankroll,net_earning,player_cards,play_cards_value,community_cards,WIN,T_CARDS,best_hand
11195,Babybear,1003287623,3619,-10,3hQs,3Q,6cTh9hAs2s,False,3H QS 6C TH 9H AS 2S,"('high_card', 'A')"
11196,Babybear,1003287666,3594,40,6cAd,6A,4d3sKs2dQh,True,6C AD 4D 3S KS 2D QH,"('high_card', 'K')"
11197,Babybear,1003287681,3634,-40,4h4c,44,Jc5s7h9c9s,False,4H 4C JC 5S 7H 9C 9S,"('two-pair', ['9', '4', 'J'])"
11198,Babybear,1003287723,3569,-60,Ad3h,A3,8sJdTc4c8h,False,AD 3H 8S JD TC 4C 8H,"('one-pair', ['8', 'A', 'J', 'T'])"
11199,Babybear,1003287760,3494,-40,8d3s,83,9hJc5h7d5s,False,8D 3S 9H JC 5H 7D 5S,"('one-pair', ['5', 'J', '9', '8'])"
11200,Babybear,1003287776,3454,50,KhQc,KQ,4d5d3dAc8c,True,KH QC 4D 5D 3D AC 8C,"('high_card', 'A')"
11201,Babybear,1003287797,3504,10,Jd7h,J7,Ah4cKs8s9d,True,JD 7H AH 4C KS 8S 9D,"('high_card', 'K')"
11202,Babybear,1003287811,3514,50,9sQh,9Q,Qd7d6dTh4h,True,9S QH QD 7D 6D TH 4H,"('one-pair', ['Q', 'T', '9', '7'])"
11203,Babybear,1003287836,3564,-30,KcQd,KQ,Ts6d2d8cJd,False,KC QD TS 6D 2D 8C JD,"('high_card', 'J')"
11204,Babybear,1003287884,3499,-10,9cJh,9J,2d4h3d8hTd,False,9C JH 2D 4H 3D 8H TD,"('high_card', 'T')"
11205,Babybear,1003287922,3519,30,QcAs,QA,2d3d4d7sJh,True,QC AS 2D 3D 4D 7S JH,"('high_card', 'J')"
11206,Babybear,1003287941,3549,120,TsJs,TJ,4hAs9dQhKh,True,TS JS 4H AS 9D QH KH,"('straight', 'A')"
11207,Babybear,1003287962,3669,-60,Qs4h,Q4,Tc4s8c2h9c,False,QS 4H TC 4S 8C 2H 9C,"('one-pair', ['4', 'Q', 'T', '9'])"
11208,Babybear,1003287979,3609,80,4dTh,4T,6s4sTsTdJs,True,4D TH 6S 4S TS TD JS,"('three-of-a-kind', 'T')"
11209,Babybear,1003338876,3689,-50,Js4s,J4,9s3sAh2h8h,False,JS 4S 9S 3S AH 2H 8H,"('high_card', 'A')"
11210,Babybear,1003339009,3659,90,Td6s,T6,9s7d4d6hTc,True,TD 6S 9S 7D 4D 6H TC,"('two-pair', ['T', '6', '9'])"
11211,Babybear,1003339308,3699,215,7dQc,7Q,8s9dAs5h6s,True,7D QC 8S 9D AS 5H 6S,"('straight', '9')"
11212,Babybear,1003339486,3944,-100,TdKc,TK,2cQc3c6s4c,False,TD KC 2C QC 3C 6S 4C,"('flush', ['K', 'Q', '4', '3', '2'])"
11213,Babybear,1003339542,3844,130,Ks5c,K5,9sAsKh2dKd,True,KS 5C 9S AS KH 2D KD,"('three-of-a-kind', 'K')"
11214,Babybear,1003339881,4129,80,Th3h,T3,Tc7s3cKd4s,True,TH 3H TC 7S 3C KD 4S,"('two-pair', ['T', '3', 'K'])"
11215,Babybear,1003379163,1000,-70,AcAd,AA,2s9s8c4c4h,False,AC AD 2S 9S 8C 4C 4H,"('two-pair', ['A', '4', '9'])"
11216,Babybear,1003379218,910,0,KhJs,KJ,3h6sAdQd6h,False,KH JS 3H 6S AD QD 6H,"('one-pair', ['6', 'A', 'K', 'Q'])"
11217,Babybear,1003379232,910,-180,9hAs,9A,Ad9c2c2dQh,False,9H AS AD 9C 2C 2D QH,"('two-pair', ['A', '9', 'Q'])"
11218,Babybear,1003379277,735,-30,3cKc,3K,4cJsTdAc4h,False,3C KC 4C JS TD AC 4H,"('one-pair', ['4', 'A', 'K', 'J'])"
11219,Babybear,1003379329,685,-90,Ad6s,A6,JdAc7hJsTc,False,AD 6S JD AC 7H JS TC,"('two-pair', ['A', 'J', 'T'])"
11220,Babybear,1003379451,555,40,Td8d,T8,Th2s6cKh3s,True,TD 8D TH 2S 6C KH 3S,"('one-pair', ['T', 'K', '8', '6'])"
11221,Babybear,1003379572,555,40,9sTd,9T,Th7sJs6h9h,True,9S TD TH 7S JS 6H 9H,"('two-pair', ['T', '9', 'J'])"
11222,Babybear,1003379746,605,-60,7s6s,76,9s7hJd2s9d,False,7S 6S 9S 7H JD 2S 9D,"('two-pair', ['9', '7', 'J'])"
11223,Babybear,1003379785,545,20,JcQs,JQ,6dKhTh4dTs,True,JC QS 6D KH TH 4D TS,"('one-pair', ['T', 'K', 'Q', 'J'])"
11224,Babybear,1003379857,605,35,Kd7h,K7,ThJsJh2c5c,True,KD 7H TH JS JH 2C 5C,"('one-pair', ['J', 'K', 'T', '7'])"
11225,Babybear,1003379934,640,-60,QhKc,QK,5c6h7hJcQd,False,QH KC 5C 6H 7H JC QD,"('one-pair', ['Q', 'K', 'J', '7'])"
11226,Babybear,1003380021,575,-10,6dKh,6K,JdTd7cAd9c,False,6D KH JD TD 7C AD 9C,"('high_card', 'A')"
11227,Babybear,1003380056,565,-90,TsJd,TJ,2d7h4s5cJh,False,TS JD 2D 7H 4S 5C JH,"('one-pair', ['J', 'T', '7', '5'])"
11228,Babybear,1003380128,465,-30,5sJs,5J,9sQd6cTs6h,False,5S JS 9S QD 6C TS 6H,"('one-pair', ['6', 'Q', 'J', 'T'])"
11229,Babybear,1003394671,405,-90,9dAs,9A,6c5d2s9s4h,False,9D AS 6C 5D 2S 9S 4H,"('one-pair', ['9', 'A', '6', '5'])"
11230,Babybear,1003394730,315,-110,8c8d,88,Ah2s3c5d5s,False,8C 8D AH 2S 3C 5D 5S,"('two-pair', ['8', '5', 'A'])"
11231,Babybear,1003394873,270,-100,JsKd,JK,5cAd5hTdJc,False,JS KD 5C AD 5H TD JC,"('two-pair', ['J', '5', 'A'])"
11232,Babybear,1003394925,170,70,JcAd,JA,7h9hJhQs5d,True,JC AD 7H 9H JH QS 5D,"('one-pair', ['J', 'A', 'Q', '9'])"
11233,Babybear,1003395110,170,115,2sJd,2J,TdKsJh6h3c,True,2S JD TD KS JH 6H 3C,"('one-pair', ['J', 'K', 'T', '6'])"
11234,Babybear,1003395226,280,100,8sTs,8T,6c9h7sAsQc,True,8S TS 6C 9H 7S AS QC,"('straight', 'T')"
11235,Babybear,1003395261,380,-70,3s8h,38,Js4hKc6c6s,False,3S 8H JS 4H KC 6C 6S,"('one-pair', ['6', 'K', 'J', '8'])"
11236,Babybear,1003395312,290,-30,KdTc,KT,Qc2h3s5sQs,False,KD TC QC 2H 3S 5S QS,"('one-pair', ['Q', 'K', 'T', '5'])"
11237,Babybear,1003395428,370,10,5sKh,5K,Jh8cAc6dTs,True,5S KH JH 8C AC 6D TS,"('high_card', 'A')"
11238,Babybear,1003395472,380,-50,4h4d,44,6h7sTc8dJd,False,4H 4D 6H 7S TC 8D JD,"('one-pair', ['4', 'J', 'T', '8'])"
11239,Babybear,1003395495,330,-10,2sQc,2Q,6sTd8s3sKc,False,2S QC 6S TD 8S 3S KC,"('high_card', 'K')"
11240,Babybear,1003395512,320,-10,4h7c,47,5hJhAdQsAs,False,4H 7C 5H JH AD QS AS,"('one-pair', ['A', 'Q', 'J', '7'])"
11241,Babybear,1003395526,310,0,9h6s,96,5cTs9c7sKh,False,9H 6S 5C TS 9C 7S KH,"('one-pair', ['9', 'K', 'T', '7'])"
11242,Babybear,1003395601,330,-40,Ts2s,T2,As5d4d6sJc,False,TS 2S AS 5D 4D 6S JC,"('high_card', 'J')"
11243,Babybear,1003395680,295,-70,Jd9c,J9,5s5d6s6dJc,False,JD 9C 5S 5D 6S 6D JC,"('two-pair', ['J', '6', '9'])"
11244,Babybear,1003395693,225,-120,TdTh,TT,5hJc7s5d3s,False,TD TH 5H JC 7S 5D 3S,"('two-pair', ['T', '5', 'J'])"
11245,Babybear,1003395783,125,-100,3s7s,37,JhAsTcQc7d,False,3S 7S JH AS TC QC 7D,"('one-pair', ['7', 'A', 'Q', 'J'])"
11246,Babybear,1003395821,25,-25,9cQd,9Q,Jc2d9sKd7c,False,9C QD JC 2D 9S KD 7C,"('one-pair', ['9', 'K', 'Q', 'J'])"
11247,Babybear,1003396399,1020,-50,2cJc,2J,4s2sTcQcTd,False,2C JC 4S 2S TC QC TD,"('two-pair', ['T', '2', 'Q'])"
11248,Babybear,1003396430,970,-60,7hQc,7Q,7sAhKcJd4s,False,7H QC 7S AH KC JD 4S,"('one-pair', ['7', 'A', 'K', 'Q'])"
11249,Babybear,1003396468,910,-30,Qc8c,Q8,KcAcTh5d6s,False,QC 8C KC AC TH 5D 6S,"('high_card', 'T')"
